"TIME","CH1","CH2","CH3","CH4","MATH"
-9.120e-04,0.172,-0.016,-0.212,-0.08,1
-9.118e-04,0.17,-0.014,-0.214,-0.096,1
-9.116e-04,0.17,-0.018,-0.204,-0.076,1
-9.114e-04,0.171,-0.014,-0.22,-0.08,1
-9.112e-04,0.166,-0.02,-0.214,-0.088,1
-9.110e-04,0.17,-0.008,-0.21,-0.084,1
-9.108e-04,0.167,-0.006,-0.216,-0.08,1
-9.106e-04,0.166,-0.006,-0.222,-0.072,1
-9.104e-04,0.173,-0.006,-0.21,-0.072,1
-9.102e-04,0.17,-0.014,-0.212,-0.072,1
-9.100e-04,0.168,-0.008,-0.218,-0.072,1
-9.098e-04,0.168,-0.016,-0.21,-0.08,1
-9.096e-04,0.168,-0.016,-0.214,-0.08,1
-9.094e-04,0.17,-0.012,-0.22,-0.088,1
-9.092e-04,0.166,-0.01,-0.212,-0.084,1
-9.090e-04,0.172,-0.02,-0.216,-0.088,1
-9.088e-04,0.171,-0.012,-0.216,-0.076,1
-9.086e-04,0.172,-0.012,-0.21,-0.072,1
-9.084e-04,0.17,-0.008,-0.214,-0.08,1
-9.082e-04,0.17,-0.012,-0.216,-0.092,1
-9.080e-04,0.172,-0.014,-0.22,-0.08,1
-9.078e-04,0.172,-0.014,-0.218,-0.08,1
-9.076e-04,0.171,-0.012,-0.212,-0.08,1
-9.074e-04,0.171,-0.014,-0.214,-0.08,1
-9.072e-04,0.167,-0.016,-0.222,-0.076,1
-9.070e-04,0.169,-0.02,-0.214,-0.084,1
-9.068e-04,0.172,-0.014,-0.206,-0.08,1
-9.066e-04,0.168,-0.01,-0.21,-0.068,1
-9.064e-04,0.17,-0.012,-0.212,-0.076,1
-9.062e-04,0.166,-0.01,-0.21,-0.08,1
-9.060e-04,0.168,-0.008,-0.222,-0.072,1
-9.058e-04,0.168,-0.012,-0.208,-0.076,1
-9.056e-04,0.17,-0.01,-0.22,-0.072,1
-9.054e-04,0.166,-0.01,-0.216,-0.08,1
-9.052e-04,0.166,-0.01,-0.212,-0.088,1
-9.050e-04,0.168,-0.018,-0.218,-0.088,1
